,delta_M,delta_F
280,1.041365089,1.317827497
281,0.968815819,1.126863888
282,0.479677125,0.398015894
283,0.394548981,0.538146081
284,0.77653125,0.703453701
285,0.570322445,0.590595863
286,0.947118201,0.747265019
287,0.964582077,1.149227711
288,1.100726713,1.094109395
289,0.446359357,0.573165081
290,1.162128581,1.253558866
291,0.41446781,0.704202579
292,0.735245039,0.675514047
293,0.887407314,1.17475728
294,0.72649778,0.933814071
295,0.289533981,0.676827336
296,0.639993013,0.541494621
297,0.882592355,0.961081166
298,0.535527725,0.793924744
299,-0.123554874,0.273738298
300,-0.293656456,-0.209988983
301,0.593361237,0.531080603
302,0.332328453,0.544825166
303,0.498823508,0.72677417
304,0.836382655,0.705264398
305,0.648971167,0.719584178
306,0.769720175,0.662898528
307,0.795400139,0.604112918
308,0.579387123,0.541900655
309,0.763908822,0.69843991
310,0.415526415,0.368596278
311,0.883321471,0.794094158
312,0.607394041,1.022298945
313,0.674255277,0.634015376
314,0.460010014,0.537853063
315,0.37313848,0.435337803
316,1.033726741,0.89425852
317,0.825321667,1.079088466
318,0.636767213,0.631599866
319,0.985857705,1.082985566
320,0.655411737,0.855385504
321,0.625337983,0.638253468
322,0.834128027,1.008729802
323,0.540855525,0.712599654
324,0.245464253,0.389806058
325,0.710836692,0.488512028
326,0.661266444,0.792741816
327,0.407204966,0.411943738
328,0.848698419,0.99590096
329,0.549081801,0.516704296
330,0.670519797,0.683192124
331,0.830272727,0.767586386
332,1.092596839,0.992842099
333,0.791811541,0.466503312
334,0.288695752,0.44418977
335,0.56390203,0.493788249
336,0.322856734,0.365481596
337,0.946893874,1.074362628
338,1.029449782,1.098033724
339,1.134045998,1.204246612
340,0.414748176,0.423656735
341,0.232269728,0.325941463
342,0.327760611,0.799374726
343,0.651362618,0.787764809
344,0.595828454,0.876998985
345,0.906971538,0.969065499
346,1.096476567,1.218428408
347,0.480766761,0.359851549
348,0.614363559,0.648744397
349,0.94759584,1.069604026
350,0.929096559,1.015532774
351,0.474663088,0.556237082
352,0.774039926,0.916852333
353,1.041782502,1.047571163
354,0.476633481,1.154559668
355,0.702219201,0.477769841
356,1.197630105,0.862431668
357,0.466287363,0.545485452
358,0.795957807,1.151553545
359,0.948066711,0.784612131
360,0.593368023,0.761017534
361,0.958715609,1.266379811
362,1.184654678,1.666404974
363,1.030121956,1.328455309
364,0.589915027,0.557063778
365,0.676693098,0.476819162
366,1.004044698,1.084909551
367,0.881131089,0.777427858
368,1.219310937,1.37376124
369,1.308779156,1.333108133
370,1.260092126,1.296861611
371,0.300876834,0.314871455
372,0.986448386,1.129023703
373,1.037625881,0.951074191
374,0.35587493,0.333069209
375,0.726678409,1.07614825
